1000000 	 0.01 	 0.00 
2000000 	 0.01 	 0.01 
3000000 	 0.02 	 0.01 
4000000 	 0.02 	 0.01 
5000000 	 0.03 	 0.02 
6000000 	 0.04 	 0.02 
7000000 	 0.03 	 0.02 
8000000 	 0.03 	 0.03 
9000000 	 0.04 	 0.04 
10000000 	 0.04 	 0.03 
11000000 	 0.06 	 0.04 
12000000 	 0.05 	 0.04 
13000000 	 0.05 	 0.04 
14000000 	 0.06 	 0.05 
15000000 	 0.09 	 0.05 
16000000 	 0.07 	 0.05 
17000000 	 0.10 	 0.06 
18000000 	 0.07 	 0.06 
19000000 	 0.11 	 0.06 
20000000 	 0.12 	 0.06 
21000000 	 0.13 	 0.07 
22000000 	 0.09 	 0.10 
23000000 	 0.10 	 0.08 
24000000 	 0.10 	 0.08 
25000000 	 0.15 	 0.08 
26000000 	 0.11 	 0.08 
27000000 	 0.16 	 0.09 
28000000 	 0.17 	 0.12 
29000000 	 0.12 	 0.11 
30000000 	 0.18 	 0.11 
31000000 	 0.19 	 0.12 
32000000 	 0.13 	 0.11 
33000000 	 0.13 	 0.11 
34000000 	 0.14 	 0.11 
35000000 	 0.21 	 0.11 
36000000 	 0.22 	 0.12 
37000000 	 0.15 	 0.12 
38000000 	 0.15 	 0.12 
39000000 	 0.16 	 0.13 
40000000 	 0.16 	 0.13 
41000000 	 0.17 	 0.13 
42000000 	 0.25 	 0.13 
43000000 	 0.26 	 0.14 
44000000 	 0.26 	 0.14 
45000000 	 0.27 	 0.14 
46000000 	 0.19 	 0.15 
47000000 	 0.28 	 0.15 
48000000 	 0.20 	 0.15 
49000000 	 0.20 	 0.16 
50000000 	 0.20 	 0.16 
51000000 	 0.21 	 0.16 
52000000 	 0.31 	 0.17 
53000000 	 0.32 	 0.17 
54000000 	 0.22 	 0.18 
55000000 	 0.22 	 0.18 
56000000 	 0.34 	 0.18 
57000000 	 0.23 	 0.19 
58000000 	 0.24 	 0.19 
59000000 	 0.24 	 0.19 
60000000 	 0.36 	 0.19 
61000000 	 0.37 	 0.20 
62000000 	 0.37 	 0.21 
63000000 	 0.38 	 0.21 
64000000 	 0.26 	 0.22 
65000000 	 0.40 	 0.21 
66000000 	 0.40 	 0.21 
67000000 	 0.40 	 0.22 
68000000 	 0.28 	 0.22 
69000000 	 0.28 	 0.22 
70000000 	 0.42 	 0.24 
71000000 	 0.29 	 0.25 
72000000 	 0.43 	 0.23 
73000000 	 0.30 	 0.23 
74000000 	 0.44 	 0.24 
75000000 	 0.30 	 0.24 
76000000 	 0.31 	 0.24 
77000000 	 0.31 	 0.25 
78000000 	 0.32 	 0.25 
79000000 	 0.42 	 0.27 
80000000 	 0.48 	 0.26 
81000000 	 0.49 	 0.27 
82000000 	 0.49 	 0.26 
83000000 	 0.50 	 0.27 
84000000 	 0.34 	 0.27 
85000000 	 0.51 	 0.27 
86000000 	 0.35 	 0.28 
87000000 	 0.36 	 0.28 
88000000 	 0.53 	 0.28 
89000000 	 0.53 	 0.29 
90000000 	 0.37 	 0.29 
91000000 	 0.54 	 0.29 
92000000 	 0.55 	 0.30 
93000000 	 0.38 	 0.31 
94000000 	 0.38 	 0.30 
95000000 	 0.57 	 0.30 
96000000 	 0.39 	 0.31 
97000000 	 0.40 	 0.32 
98000000 	 0.40 	 0.31 
99000000 	 0.59 	 0.32 
100000000 	 0.60 	 0.35 
