7.768113	4.035103	3.100382	3.922520
7.588769	4.175812	3.061012	3.912745
7.798488	4.977482	3.138313	4.148493
7.851508	4.349144	3.112323	4.674337
7.797229	4.723690	3.081614	3.881814
7.291046	4.503168	3.120583	4.094567
8.278411	4.049561	3.123353	4.172416
8.046613	4.473167	3.158965	4.162664
8.355503	3.932623	3.101953	3.959055
8.082958	4.733362	3.250797	4.117350
7.972533	4.474539	3.121023	3.997164
7.420597	4.672015	3.115409	4.175373
8.010687	4.291232	3.101738	3.978216
8.151989	4.668302	3.158604	3.865941
7.978354	4.512587	3.167879	3.894886
8.202758	4.517219	3.121151	3.905462
7.871464	4.345174	3.218370	3.935331
8.095036	4.606853	3.136470	3.758859
7.418578	4.723209	3.147217	4.128350
7.450501	4.461162	3.203645	3.884835
8.589228	4.534779	3.117389	4.037554
8.088600	4.422050	3.141578	4.030693
7.920959	4.606834	3.172531	3.962911
7.973249	4.657589	3.539223	3.975120
7.995041	4.587398	3.036078	4.124819
7.452773	4.812134	3.112129	4.071530
7.782217	4.516330	3.082312	4.177273
8.454369	4.441931	2.980953	3.947724
7.459223	4.598228	3.056427	4.725392
7.855127	4.848076	3.106296	4.114759
7.746894	4.121476	3.154585	3.983424
7.850808	4.380546	3.036952	4.161342
7.145596	4.703144	3.414619	3.991956
7.632795	4.418167	3.179260	4.136438
8.396426	4.541176	3.145486	4.147731
7.767899	4.492616	3.097903	4.053631
8.154775	4.076903	2.960557	3.983552
7.985330	4.613644	3.012710	4.003523
7.474496	4.526875	3.076289	4.102751
8.114649	4.691669	3.200823	3.904136
8.079999	4.448684	3.155185	4.044465
8.393919	3.972226	3.181060	4.071586
8.183890	4.321980	3.138747	3.901754
7.647344	4.334730	3.204607	3.945358
8.167230	4.559734	3.234977	4.072940
7.708071	4.548110	3.044826	4.107121
7.956925	4.787422	3.183814	3.984043
8.028788	4.496975	3.100315	4.123826
8.501084	4.615789	3.229477	4.143598
7.621276	3.882131	3.110150	4.020857
8.262455	4.511306	3.109671	4.041174
7.796489	3.802514	3.261265	4.092673
7.916195	3.901039	3.157499	3.960943
7.969156	4.621052	3.060828	4.025148
7.771592	4.678010	3.178470	4.064887
8.329718	4.510124	3.048216	4.007290
7.762354	4.563012	3.137428	4.046286
8.085481	4.531409	3.022052	4.108450
7.946630	4.394011	3.217391	4.024349
7.959819	4.434555	3.002752	3.972743
8.178281	4.315847	3.134747	4.007115
7.656704	4.493012	3.224721	3.951490
8.483018	4.433709	3.139688	4.127563
8.134289	3.924048	3.148905	4.353673
8.014988	4.051524	3.172848	3.959790
7.961875	4.550357	3.247044	4.044003
7.939811	4.256175	3.057080	3.912656
8.194601	5.133428	3.253632	4.005563
8.069405	4.205458	3.102478	3.956409
8.438162	4.529385	3.148805	4.028142
7.979817	4.515067	3.058471	3.955758
7.989567	3.998055	3.099734	4.222352
7.577275	4.173015	3.104223	4.014098
7.808928	4.317808	3.084026	4.150296
7.897453	4.432040	3.201753	4.149944
8.140110	4.528066	3.079351	4.008262
8.398386	4.539610	3.577476	4.104022
7.492163	4.416259	3.151206	3.930816
8.011559	4.356061	3.139216	4.028383
7.675422	4.350857	3.217076	3.947487
7.872927	4.633364	3.060274	3.976247
7.824577	4.575504	3.141011	4.047355
7.832108	4.453126	3.087088	3.968037
8.650321	4.689765	3.114510	4.053777
7.303499	4.479152	3.209421	3.941144
7.959068	4.530428	3.135537	4.337064
7.781868	4.648383	3.216157	4.079186
7.828623	4.512174	3.106573	3.936232
7.584101	4.842696	3.254486	4.254326
8.286382	4.077284	3.063829	3.989180
8.242581	4.524715	3.069882	4.192561
8.462170	3.615055	3.169052	4.006537
7.787370	4.119220	3.093338	4.214806
8.182618	4.425111	3.245524	3.993155
7.504422	4.065528	4.570848	3.953806
7.696645	4.875949	3.154179	3.890123
7.680224	3.784588	3.177887	4.033655
7.954292	4.301230	3.030476	4.118981
8.345816	4.601753	3.098988	4.274992
7.942535	4.534593	3.118449	4.042068
