2	16.444809	7.452791	true
4	13.087884	3.856436	true
8	13.155804	3.013372	true
16	13.510631	3.967401	true

2	12.984312	7.476157	true
4	12.852240	4.229538	true
8	12.991343	3.163093	true
16	13.976039	4.182912	true

2	15.578937	7.846319	true
4	13.138848	3.981571	true
8	13.586053	3.135596	true
16	13.353669	4.051759	true

2	13.387164	7.703947	true
4	13.031208	4.410021	true
8	14.164380	3.111659	true
16	13.157162	3.918486	true

2	13.166743	7.490614	true
4	13.395683	4.234975	true
8	13.276349	3.066559	true
16	13.213140	3.940950	true

2	13.485230	8.110859	true
4	13.885729	4.063050	true
8	13.441874	3.115679	true
16	13.288551	3.960442	true

2	13.587166	8.231246	true
4	13.082540	4.137659	true
8	13.342757	3.026815	true
16	13.204358	4.030787	true

2	14.087097	7.931179	true
4	13.485280	4.277435	true
8	13.039392	3.047126	true
16	13.479139	3.929692	true

2	13.495421	7.768429	true
4	13.080595	4.045474	true
8	13.329153	3.112068	true
16	13.785251	4.696112	true

2	13.165269	7.624354	true
4	13.403651	4.680725	true
8	13.308970	3.156804	true
16	13.130615	3.997057	true

