2	0.722434	0.474783	true
4	0.719703	0.550884	true
8	0.715580	0.549837	true
16	0.718481	0.529405	true
2	0.712993	0.468809	true
4	0.717150	0.531957	true
8	0.713413	0.569252	true
16	0.716019	0.546471	true
2	0.714961	0.465198	true
4	0.708469	0.532112	true
8	0.709766	0.511182	true
16	0.735414	0.534486	true
2	0.715255	0.473531	true
4	0.714061	0.534305	true
8	0.709337	0.565936	true
16	0.712821	0.516274	true
2	0.711582	0.479562	true
4	0.713115	0.519550	true
8	0.711659	0.550478	true
16	0.714288	0.531600	true
2	0.717051	0.466959	true
4	0.713444	0.536737	true
8	0.713345	0.555788	true
16	0.712404	0.542147	true
2	0.729237	0.471765	true
4	0.717954	0.541936	true
8	0.711752	0.562598	true
16	0.717918	0.551013	true
2	0.714398	0.498313	true
4	0.726260	0.591907	true
8	0.717447	0.544540	true
16	0.731183	0.532208	true
2	0.716574	0.472524	true
4	0.714834	0.532230	true
8	0.710613	0.566712	true
16	0.735724	0.525914	true
2	0.727203	0.510050	true
4	0.737170	0.555126	true
8	0.786313	0.560650	true
16	0.733671	0.539668	true
